name,honor,class,LWHonor,standing,rank,rankProgress,RP
Bilzx,56347,PRIEST,499344,104,10,0.66666670609266,43334
Fatherr,3893,WARRIOR,892464,2,14,0.0078431377187371,60040
Quduoduo,130,ROGUE,124867,1375,5,0.08235294604674,15412
Qrkkwqvcgklp,190,ROGUE,892,0,4,0.57254905346781,12863
Lifes,5148,HUNTER,146621,1110,3,0.96862750826403,9844
Eleanorduo,7363,WARLOCK,65430,2306,3,0.7490196521394,8746
Shockolad,17039,PALADIN,751414,45,8,0.20392158068717,31020
Vcco,1109,HUNTER,44215,2800,7,0.71764710126445,28589
Lastone,4011,MAGE,67412,2264,7,0.043137257453054,25216
Furyclaw,5547,WARRIOR,32971,3183,5,0.96470593940467,19824
Twotangopls,15467,PRIEST,380129,184,9,0.64313729293644,38216
Quailegg,11152,WARRIOR,124285,1382,7,0.56470591574907,27824
Rainvi,9616,ROGUE,242892,359,8,0.30980393989012,31550
Biemoji,12543,MAGE,56627,2504,3,0.058823532890528,5295
Hikaru,4235,MAGE,208542,572,7,0.98431378370151,29922
Axibaba,951,MAGE,357554,196,8,0.81568632274866,34079
Ac,19842,WARRIOR,892428,6,13,0.5607843468897,57804
Windiwan,7242,HUNTER,2337,0,1,0.26274511357769,0
Vendhur,6542,PALADIN,34568,3127,3,0.75294122099876,8765
Coop,6443,PALADIN,10457,4172,6,0.32549021532759,21628
Yurans,9861,WARRIOR,33043,3180,6,0.72941180784255,23648
Feimo,5797,ROGUE,209494,561,5,0.87450985563919,19373
Zhangbaibai,10162,ROGUE,452099,129,8,0.011764706578106,30059
Olddwarf,23567,HUNTER,248291,350,7,0.9725490771234,29863
Nohtera,34531,WARLOCK,207425,580,8,0.0039215688593686,30020
Dbeckham,9328,PALADIN,80998,2025,5,0.69019611924887,18451
Naisuisui,60236,MAGE,696867,56,9,0.10588235920295,35530
Brolaf,14842,WARRIOR,865,6319,1,0.43137257453054,0
Zapzapp,7633,MAGE,424058,148,7,0.14117647893727,25706
Josa,7859,HUNTER,129502,1322,5,0.59215689776465,17961
Monicayan,18337,WARLOCK,221268,477,10,0.21960785612464,41099
Fengren,10,WARRIOR,7,0,3,0.40392159251496,7020
Niandupeng,17030,DRUID,179218,829,9,0.5490196403116,37746
Berenok,15101,MAGE,163781,950,9,0.25882354471833,36295
Flakeightye,10678,HUNTER,2216,0,2,0.4745098319836,3424
Dimash,14855,ROGUE,147974,1095,3,0.86666671792045,9334
Illnath,5310,WARLOCK,122983,1394,6,0.85098044248298,24255
Erumoico,8365,ROGUE,121427,1415,4,0.85882358020172,14295
Funkdoobiest,3242,PRIEST,98696,1747,7,0.77254906529561,28863
Didi,3064,WARRIOR,161422,968,5,0.84705887362361,19236
Artheros,957,WARRIOR,8554,4320,2,0.23529413156211,2706
Rivan,10241,ROGUE,261444,323,8,0.39215688593686,31961
Wbw,10899,DRUID,319827,228,9,0.13333334121853,35667
Qmd,1447,WARRIOR,10008,4206,2,0.058823532890528,2177
Hiroshim,154,WARRIOR,185,0,3,0.45882355654612,7295
Nicejober,12883,WARRIOR,529128,90,9,0.0078431377187371,35040
Unup,16168,HUNTER,88064,1921,6,0.26666668243706,21334
Sanglel,15662,WARLOCK,512823,94,5,0.36862747278064,16844
Lrsnko,19927,HUNTER,285222,283,6,0.97647064598277,24883
Grunion,21467,HUNTER,753037,44,12,0.50196081399918,52510
Ecompany,4767,PALADIN,9872,4217,3,0.10980392806232,5550
Verity,16298,ROGUE,115708,1483,3,0.87058828677982,9353
Noobalert,303,PRIEST,163,0,1,0.17647059867159,0
Snabby,6954,MAGE,61037,2397,4,0.0039215688593686,10020
Scalpel,2621,PRIEST,20273,3644,2,0.6235294486396,3871
Longcong,14577,PRIEST,634185,67,10,0.35686276620254,41785
Lett,31139,WARRIOR,679102,58,11,0.64313729293644,48216
Deathworld,2074,WARRIOR,11452,4104,12,0.65490199951455,53275
Dardyksa,23707,ROGUE,544795,89,7,0.82745102932677,29138
Zakrilege,9601,WARRIOR,274419,303,5,0.31764707760885,16589
Fatcrab,17756,PALADIN,107085,1622,3,0.92941181967035,9648
Johnxo,32834,WARRIOR,810865,31,12,0.17647059867159,50883
Meggy,13007,HUNTER,74608,2138,8,0.38039217935875,31902
Sherli,6135,HUNTER,64645,2326,6,0.25882354471833,21295
Matumbaman,13932,WARLOCK,281371,291,9,0.59215688705444,37961
Chaka,44948,ROGUE,411211,156,7,0.12549020349979,25628
Warh,11604,WARRIOR,272959,307,5,0.6117647420615,18059
Huanledou,2740,MAGE,490934,108,9,0.22745099384338,36138
Fallenwoozy,3918,ROGUE,91573,1860,4,0.19215687410906,10961
Lysandra,11653,WARLOCK,282037,289,6,0.84705887362361,24236
Darlingsnow,6538,WARRIOR,184687,788,5,0.10588235920295,15530
Ncc,918,PRIEST,198839,667,5,0.49019610742107,17451
Longxian,15474,MAGE,695782,57,8,0.55294120917097,32765
Dino,84502,HUNTER,892468,1,12,0.52941179601476,52648
Diggens,1021,WARLOCK,3214,4983,5,0.6862745503895,18432
Sunyanzi,81844,WARRIOR,892419,7,13,0.14509804779664,55726
Juicin,30703,PALADIN,337689,207,10,0.57254905346781,42863
Hayane,4012,DRUID,239975,367,8,0.02745098201558,0
Kayvay,1344,HUNTER,5744,4624,5,0.93333338852972,19667
Yuelee,2515,ROGUE,5083,4699,3,0.43137257453054,7157
Notawitch,176,ROGUE,862,6325,3,0.94117652624846,9706
Backworld,15112,PALADIN,273658,305,6,0.98823535256088,24942
Oaa,2524,MAGE,4743,4733,6,0.63137258635834,23157
Sisteryin,60391,WARRIOR,582427,78,10,0.85882358020172,44295
Daan,9510,WARRIOR,117091,1462,7,0.51372552057728,27569
Acolyte,3789,WARLOCK,73927,2149,8,0.24313726928085,31216
Superzoo,330,DRUID,0,0,3,0.24705883814022,6236
Esrel,5180,DRUID,233902,400,9,0.23921570042148,36197
Malets,160,WARLOCK,123019,1392,4,0.94901966396719,14746
Kallemera,1242,WARRIOR,6083,4576,9,0.42745100567117,37138
Danii,3601,MAGE,99,0,2,0.81960789160803,4459
Likewinter,15929,PRIEST,699988,54,10,0.062745101749897,40314
Mdeyibi,1384,PALADIN,8369,4335,3,0.6862745503895,8432
Deznuts,357,ROGUE,7271,4439,2,0.0039215688593686,2012
Jayfield,5660,WARRIOR,316123,233,4,0.69411768810824,13471
Xlang,3857,WARLOCK,22167,3569,4,0.26666668243706,11334
Ruling,21215,ROGUE,166373,927,8,0.094117652624846,30471
Ramirez,17094,HUNTER,25365,3442,5,0.55294120917097,17765
Avuals,6940,WARRIOR,258079,329,9,0.36862747278064,36844
Andyduan,17337,WARLOCK,471,0,1,0.92549025081098,0
Reatard,4999,WARRIOR,92969,1834,8,0.37647061049938,31883
Torym,5721,ROGUE,3841,0,6,0.16862746095285,20844
Michigander,1784,PALADIN,19772,3670,3,0.29803923331201,6491
Alasdeir,37274,MAGE,128887,1328,3,0.78039220301434,8902
Helvete,622,WARRIOR,45186,2770,5,0.011764706578106,15059
Njxiaozhi,18822,ROGUE,333919,214,7,0.49411767628044,27471
Tetonfragile,21408,WARRIOR,479855,117,10,0.16470589209348,40824
Dbm,39745,MAGE,252183,340,6,0.22745099384338,21138
Caocai,43437,DRUID,833286,21,11,0.26274511357769,46314
Kotsyr,231,HUNTER,8,0,0,0,0
Ashones,19122,WARLOCK,107600,1607,5,0.36470590392128,16824
Shrader,17784,ROGUE,275010,302,11,0.039215688593686,45197
Azol,1380,HUNTER,0,0,2,0.32549021532759,2977
Cfa,7802,HUNTER,85974,1951,3,0.32156864646822,6608
Sperker,3068,MAGE,39419,2956,2,0.51372552057728,3542
Silgiana,16263,MAGE,163,0,1,0.59607846662402,0
Jdz,6980,ROGUE,54524,2552,5,0.38039217935875,16902
Trouble,19807,WARRIOR,11069,4126,6,0.17254902981222,20863
Auras,2742,WARLOCK,273814,304,8,0.64705886179581,33236
Iniquity,23964,WARLOCK,291146,273,9,0.23137256270275,36157
Johnbruce,101,DRUID,308,7660,1,0.094117652624846,0
Hanmei,37722,PRIEST,800040,38,11,0.19215687410906,45961
Smartlly,21683,HUNTER,891770,15,14,0.094117652624846,60471
Dobra,4044,PRIEST,7857,4378,3,0.93725495738909,9687
Nvwangbixia,16361,WARRIOR,91417,1861,3,0.45098041882738,7255
Malcador,13657,WARRIOR,135355,1240,5,0.2000000118278,16001
Shizuku,5860,HUNTER,157285,1003,10,0.60000003548339,43001
Lingyunhai,17335,ROGUE,179086,830,4,0.08235294604674,10412
Winthegame,11702,WARRIOR,70672,2204,6,0.99607849027961,24981
Ffdg,275,MAGE,84125,1980,5,0.83921573590487,19197
Bilroybagins,11298,MAGE,29004,3312,4,0.67058827495202,13353
Pepsiboomer,14058,DRUID,186803,771,5,0.6235294486396,18118
Kys,27332,WARRIOR,82728,1999,4,0.63137258635834,13157
Saltjee,30057,PRIEST,508280,97,11,0.34117649076507,46706
Siiralia,420,HUNTER,2799,5059,11,0.32549021532759,46628
Evilmond,11224,MAGE,131710,1287,5,0.078431377187371,15393
Barmaleika,29373,PRIEST,315042,236,8,0.87843142449856,34393
Mxo,3479,DRUID,10184,4193,3,0.0039215688593686,5020
Blairy,6913,MAGE,76976,2100,5,0.18823530524969,15942
Lotharmn,5851,WARRIOR,211351,547,8,0.90588240651414,34530
Amoboss,3107,HUNTER,6263,4555,2,0.74509808328003,4236
Banull,30939,HUNTER,421433,152,6,0.65490199951455,23275
Ionol,6738,WARRIOR,97973,1763,3,0.019607844296843,5099
Rahkel,1019,WARLOCK,8242,4348,7,0.78823534073308,28942
Belukai,4347,PRIEST,23546,3511,4,0.6862745503895,13432
Melina,7181,WARRIOR,122144,1403,6,0.57647062232718,22883
Mib,2006,HUNTER,35167,3112,4,0.66274513723329,13314
Mamilly,45345,WARRIOR,727733,50,12,0.078431377187371,50393
Moonassi,231,WARLOCK,652653,62,11,0.21960785612464,46099
Alteronio,271,MAGE,291,7710,1,0.086274514906108,0
Cigybutbrain,869,PRIEST,421643,150,10,0.53725493373349,42687
Cocanina,9174,MAGE,401687,168,10,0.20784314954653,41040
Powerlili,2882,MAGE,19916,3663,3,0.30980393989012,6550
Wonkap,163,WARLOCK,193720,717,6,0.6117647420615,23059
Gugugu,10505,WARRIOR,9058,4281,4,0.92549025081098,14628
Cooy,3470,PRIEST,198179,673,4,0.52549022715539,12628
Wenfeng,14039,HUNTER,314318,237,7,0.18823530524969,25942
Zypro,21733,MAGE,303528,260,6,0.10980392806232,20550
Bosintang,20840,ROGUE,11829,4087,2,0.18823530524969,2565
Aethra,30439,ROGUE,130281,1304,5,0.65882356837392,18295
Mutoudashu,1326,MAGE,289079,279,9,0.32549021532759,36628
Shaniquax,5145,ROGUE,14290,3938,4,0.40392159251496,12020
Cnrabbit,22291,MAGE,63987,2342,5,0.18039216753095,15902
Djoubi,24602,PALADIN,489005,111,10,0.99215692142025,44961
Brightroar,16360,WARRIOR,121704,1410,3,0.8980392687954,9491
Moulderlol,110,WARRIOR,241,7838,1,0.070588239468634,0
Ertijiao,25858,MAGE,403663,163,8,0.53333336487412,32667
Rooy,2145,PALADIN,15963,3852,3,0.67058827495202,8353
Schiessefix,4604,HUNTER,107205,1616,3,0.066666670609266,5334
Wuzhao,9557,HUNTER,214728,524,5,0.31372550874949,16569
Asspyro,186,PALADIN,438,7269,1,0.13333334121853,0
Ebuprofen,151,ROGUE,7,0,4,0.2117647184059,11059
Hupo,2815,MAGE,90343,1882,6,0.53333336487412,22667
Yourpapa,10347,MAGE,307965,245,6,0.96470593940467,24824
Fxo,41252,HUNTER,795365,40,12,0.94901966396719,54746
Kankankankk,2477,WARRIOR,218157,493,9,0.039215688593686,35197
Tribey,962,WARRIOR,47831,2700,12,0.4862745385617,52432
Designationc,19395,ROGUE,430900,145,7,0.80392161617056,29020
Bernardl,10508,WARRIOR,141503,1169,4,0.45882355654612,12295
Carayao,3844,ROGUE,195396,704,9,0.078431377187371,35393
Neiff,11119,MAGE,160954,972,7,0.70980393886566,28550
Axxao,6601,HUNTER,315986,234,9,0.48235296970233,37412
Illnara,176,PRIEST,99451,1737,5,0.60392160434276,18020
Envyme,6345,WARRIOR,146882,1106,7,0.64313729293644,28216
Pressf,11745,DRUID,192211,728,5,0.40392159251496,17020
Cswift,27951,MAGE,441284,136,9,0.92941181967035,39648
Pyraa,6715,DRUID,53306,2581,4,0.20392158068717,11020
Mk,744,HUNTER,1572,5550,5,0.47058826312423,17353
Uhdx,531,WARLOCK,2259,5218,8,0.92156868195161,34608
Kurayami,4965,PALADIN,861,6332,2,0.69019611924887,4071
Sisbbs,13815,PALADIN,179723,824,6,0.51372552057728,22569
Heishou,8086,WARRIOR,224419,461,7,0.72941180784255,28648
Nephx,176,MAGE,12816,0,6,0.11372549692169,20569
Laoyezi,16411,MAGE,55997,2513,3,0.90980397537351,9550
Rickjb,4394,PALADIN,27406,3365,4,0.89019613107666,14451
Yibi,283,ROGUE,0,0,0,0,0
Uri,15467,MAGE,228423,433,8,0.60392160434276,33020
Nosoul,176,ROGUE,119851,1436,7,0.011764706578106,25059
Ragnon,12607,PALADIN,28481,3331,3,0.78823534073308,8942
Smallbody,9910,ROGUE,167985,913,4,0.59215689776465,12961
Timira,22112,MAGE,293300,270,8,0.54509807145223,32726
Vanillaage,14073,HUNTER,31381,3238,3,0.50196081399918,7510
Mn,1104,WARRIOR,3657,4908,12,0.094117652624846,50471
Butchers,5131,WARRIOR,515991,93,10,0.066666670609266,40334
Oxymaron,19910,MAGE,451990,130,8,0.80392161617056,34020
Kimcardashen,1547,HUNTER,568,6942,1,0.17254902981222,0
Morgrim,7851,PRIEST,137,0,4,0.82745102932677,14138
Baknaffek,22331,MAGE,129528,1320,8,0.67450984381139,33373
Nicejob,22163,PALADIN,344372,203,7,0.46666669426486,27334
Starvingblax,15011,ROGUE,67325,2267,2,0.92156868195161,4765
Letyouseesee,7648,PALADIN,108783,1590,4,0.49019610742107,0
Alehandro,6665,PALADIN,142213,1160,9,0.12156863464043,35608
Mumusa,18239,PRIEST,750938,47,10,0.87843142449856,44393
Doronia,12117,HUNTER,305379,251,7,0.090196083765477,25451
Mynamefart,20053,MAGE,454678,127,10,0.12941177235916,40648
Kismet,8037,MAGE,440490,138,10,0.73725494556129,43687
Gnucky,23961,MAGE,150976,1075,8,0.98431378370151,34922
Nikiita,29655,WARRIOR,572980,81,11,0.19607844296843,45981
Betteegern,4696,WARRIOR,74336,2140,3,0.69411768810824,8471
Asspatam,176,HUNTER,526,0,5,0.8352941670455,19177
Daubadin,17196,PALADIN,31528,3232,7,0.43529414338991,27177
Lmgdx,3024,MAGE,199266,661,10,0.37254904164001,41863
Lklk,6214,PRIEST,15709,3865,4,0.60784317320213,13040
Wyldfyre,176,PRIEST,279,7751,8,0.42745100567117,32138
Wutzwerg,17349,HUNTER,24032,3497,4,0.67058827495202,13353
Ztp,9080,MAGE,45439,2764,2,0.7607843587175,4283
Abettor,154,MAGE,3454,4937,4,0.35294119734317,11765
Catalpachen,10389,ROGUE,161735,965,4,0.40000002365559,12001
Snack,1036,WARLOCK,58258,2471,6,0.43921571224928,22197
Ievel,4113,HUNTER,3821,4876,1,0.70980396354571,0
Shemale,7086,MAGE,17882,3754,4,0.078431377187371,10393
Longhaircn,7153,MAGE,171185,891,6,0.10588235408068,20530
Mandragoran,4829,WARRIOR,61032,2398,5,0.18823530524969,15942
Yasy,222,ROGUE,23415,3516,9,0.10980392806232,35550
Inlyne,52141,PALADIN,757747,43,8,0.50980395171791,32550
Lulude,23283,MAGE,550716,86,11,0.30588237103075,46530
Oksana,36862,HUNTER,400411,170,8,0.6980392569676,33491
Oldwai,4155,MAGE,45068,2774,3,0.57254905346781,7863
Foamposite,4182,WARRIOR,62900,2361,3,0.98431378370151,9922
Jjyang,1625,WARRIOR,11624,4101,2,0.090196083765477,2271
Ujiro,825,PALADIN,1865,5370,3,0.49019610742107,7451
Bladezbq,9920,PALADIN,221630,474,4,0.64313729293644,13216
Fairys,12759,MAGE,426554,147,7,0.3490196284838,26746
Miaozi,4581,MAGE,70009,2212,3,0.031372550874949,5157
Pangpang,90,DRUID,0,0,2,0.30980393989012,2930
Thirteengirl,8851,HUNTER,170706,895,6,0.098039221484214,20491
Badshooter,1747,HUNTER,26777,3390,4,0.3490196284838,11746
